pair_id,order,greedy_gen,s1,s2,s3,s4,s5,ms
p0318,swap,B,B,B,B,B,B,3692
p0319,orig,A,A,A,A,A,A,4923
p0319,swap,A,A,A,A,A,A,4829
p0320,orig,A,A,B,A,A,A,4610
p0320,swap,B,A,A,B,A,B,4572
p0321,orig,A,A,A,A,A,A,4223
p0321,swap,A,A,A,A,A,A,4263
p0322,orig,A,A,B,A,A,B,1781
p0322,swap,A,A,A,B,A,A,1721
p0323,orig,B,B,A,B,A,A,1872
p0323,swap,A,A,A,B,A,A,1909
p0324,orig,A,A,A,A,A,A,2380
p0324,swap,A,A,A,B,A,A,2197
p0325,orig,A,B,B,A,A,B,2064
p0325,swap,A,A,A,A,A,B,2249
p0326,orig,A,B,A,A,A,A,1917
p0326,swap,A,A,A,A,A,A,1985
p0327,orig,A,A,A,A,A,A,1468
p0327,swap,B,B,B,B,B,B,1517
p0328,orig,A,A,A,B,A,A,2161
p0328,swap,A,A,A,A,A,A,2129
p0329,orig,A,A,A,A,A,A,1625
p0329,swap,B,B,B,B,B,B,1611
p0330,orig,A,A,B,A,A,A,2404
p0330,swap,A,A,B,A,A,A,2378
p0331,orig,A,A,A,A,A,A,1429
p0331,swap,A,B,A,B,A,A,1378
p0332,orig,A,A,A,A,A,A,1776
p0332,swap,B,B,B,B,B,B,2147
p0333,orig,A,A,A,A,A,A,1787
p0333,swap,A,A,A,A,A,A,1429
p0334,orig,A,A,B,B,A,A,1552
p0334,swap,A,A,A,A,A,A,1550
p0335,orig,B,B,B,B,B,B,1530
p0335,swap,A,A,A,A,A,A,1489
p0336,orig,A,A,B,A,A,A,1252
p0336,swap,A,A,A,B,A,A,1124
p0337,orig,A,A,A,A,A,A,2322
p0337,swap,B,B,B,B,B,B,2446
p0338,orig,A,A,A,A,A,A,2315
p0338,swap,A,A,A,A,A,A,2374
p0339,orig,A,A,A,A,A,A,2103
p0339,swap,A,A,A,A,A,A,2109
p0340,orig,A,A,A,A,A,A,2786
p0340,swap,B,B,B,B,B,B,2666
p0341,orig,A,B,A,A,A,B,1917
p0341,swap,A,A,A,A,A,A,1886
p0342,orig,B,A,B,A,A,A,1920
p0342,swap,A,A,A,A,A,A,1874
p0343,orig,B,B,A,A,B,A,1805
p0343,swap,A,A,A,A,A,A,1750
p0344,orig,A,A,A,A,A,A,2805
p0344,swap,A,A,A,A,A,A,2846
p0345,orig,A,A,B,A,A,A,2103
p0345,swap,A,B,A,A,A,A,2086
p0346,orig,A,A,A,B,A,B,2635
p0346,swap,A,A,A,A,A,A,2661
p0347,orig,A,B,B,B,?,A,2810
p0347,swap,A,A,B,B,A,A,2669
p0348,orig,A,A,A,A,A,A,3097
p0348,swap,A,A,A,A,A,A,3139
p0349,orig,A,A,A,A,B,A,2614
p0349,swap,A,A,A,A,B,A,2734
